lambda=1,lambda=2,lambda=3,lambda=4
205.995741367357,355.012393760883,495.000000000000,632.499984639469
206.469268416476,355.763220185718,495.847478787775,633.387414995410
206.912249019832,356.460852926997,496.612684222284,634.161231446345
207.324357682569,357.105522606768,497.296118579109,634.822043366872
207.705236214260,357.697449010546,497.898298795207,635.370484485951
208.054492065908,358.236838392934,498.419756166738,635.807213897209
208.371696665180,358.723880464298,498.861035853902,636.132917066994
208.656383757589,359.158745036288,499.222696155903,636.348306825210
208.908047761893,359.541578304285,499.505307514386,636.454124319817
209.126142148534,359.872498745467,499.709451198550,636.451139911105
209.310077850453,360.151592612136,499.835717619748,636.340153976064
209.459221716188,360.378909001285,499.884704217737,636.121997586542
209.572895015608,360.554454483222,499.857012854942,635.797533017058
209.650372009124,360.678187274274,499.753246649239,635.367654029239
209.690878591666,360.750010941387,499.574006169872,634.833285869626
209.693591023062,360.769767629768,499.319884915475,634.195384906053
209.657634756871,360.737230808547,498.991463987794,633.454937814935
209.582083379944,360.652097533937,498.589305869802,632.612960217442
209.465957675298,360.513980234447,498.113947212780,631.670494646888
209.308224821012,360.322398028374,497.565890533649,630.628607712639
209.107797738015,360.076767590139,496.945594721795,629.488386307706
208.863534599633,359.776393588962,496.253464254031,628.250932687998
208.574238515773,359.420458730872,495.489837017451,626.917358231415
208.238657404466,359.008013443153,494.654970643160,625.488775664767
207.855484063319,358.537965248954,493.749027259394,623.966289526583
207.423356453123,358.009067888830,492.772056580827,622.350984614645
206.940858205481,357.419910255495,491.723977262113,620.643912149424
206.406519365848,356.768905217861,490.604556458274,618.846073369264
205.818817382799,356.054278420418,489.413387552722,616.958400261210
205.176178353661,355.274057154169,488.149866035663,614.981733123823
204.476978535868,354.426059405401,486.813163541673,612.916794656516
203.719546132544,353.507883198525,485.402200085369,610.764160275113
202.902163359800,352.516896358810,483.915614568540,608.524224366877
202.023068802207,351.450226830020,482.351733670645,606.197162221700
201.080460061687,350.304753690392,480.708539277297,603.782887410873
200.072496703835,349.077099018065,478.983634647821,601.281004432264
198.997303504300,347.763620763668,477.174209572938,598.690756502214
197.852973996430,346.360406793176,475.277004826601,596.010968451035
196.637574319849,344.863270268075,473.288276271211,593.239984771700
195.349147368043,343.267746532265,471.203759032327,590.375602980577
193.985717231364,341.569091675689,469.018632216326,587.415002575233
192.545293930147,339.762282943231,466.727484701464,584.354670017014
191.025878430845,337.842021153916,464.324282587988,581.190320324456
189.425467936295,335.802735289582,461.802338945175,577.916816036174
187.742061439370,333.638589403994,459.154286540864,574.528084486466
185.973665527410,331.343491992578,456.372054280669,571.017034530571
184.118300422980,328.911107949700,453.446848118103,567.375474055604
182.174006244603,326.334873224427,450.369137221465,563.594029813212
180.138849469309,323.608012267218,447.128646197208,559.662071305657
178.010929577006,320.723558338846,443.714354170694,555.567640642455
175.788385854913,317.674376729243,440.114501512613,551.297390453220
173.469404338605,314.453190907985,436.316604971264,546.836532087011
171.052224864550,311.052611599946,432.307481926440,542.168796441749
168.535148207507,307.465168749421,428.073284418766,537.276409841691
165.916543274669,303.683346304149,423.599543528493,532.140087409004
163.194854327116,299.699619717257,418.871224579638,526.739046350063
160.368608197935,295.506496030713,413.872793529027,521.051041491748
157.436421475275,291.096556368699,408.588294765902,515.052425252120
154.397007617695,286.462500633853,403.001440397046,508.718234009152
151.249183968410,281.597194164028,397.095710926482,502.022302537773
147.991878634427,276.493716072555,390.854467059427,494.937407818509
144.624137196191,271.145408961418,384.261072169783,487.435443081360
141.145129213105,265.545929664882,377.299024771792,479.487622439727
137.554154490317,259.689300651327,369.952100132744,471.064715896810
133.850649072302,253.569961683951,362.204499958477,462.137313879253
130.034190929195,247.182821317043,354.041008880662,452.676119780592
126.104505302418,240.523307784262,345.447156278785,442.652268293320
122.061469676957,233.587418819090,336.409381784528,432.037666588594
117.905118348695,226.371769935968,326.915202646415,420.805354683802
113.635646556416,218.873640693728,316.953380982455,408.929880639387
109.253414149565,211.091018461334,306.514088822282,396.387685567183
104.758948764502,203.022639209688,295.589068742054,383.157492833672
100.152948483834,194.668024862671,284.171787828635,369.220695323133
95.4362839554440,186.027516755740,272.257582677661,354.561734207481
90.6099999500774,177.102304771308,259.843793135435,339.168462369685
85.6753163387143,167.894451746718,246.929882539289,323.032485462290
80.6336284735313,158.406912782892,233.517542296153,306.149473564918
75.4865069589335,148.643549119216,219.610778765077,288.519436544830
70.2356968019637,138.609136282908,205.215980575794,270.146956528671
64.8831159343445,128.309366268357,190.341964720734,251.041371363130
59.4308531014173,117.750843553405,175.000000000000,231.216903574598
53.8811651163820,106.941074814707,159.203806674410,210.692730125255
48.2364734813777,95.8884522624575,142.969531486931,189.492989192857
42.4993603801690,84.6022305753598,126.315697542796,167.646721256769
36.6725640504255,73.0924974789293,109.263128887951,145.187742931917
30.7589735467809,61.3701380733452,91.8348499880129,122.154453230260
24.7616229091009,49.4467930802955,74.0559606792609,98.5895732174091
18.6836847534651,37.3348112408153,55.9534875324330,74.5398213396320
12.5284633065421,25.0471961571075,37.5562129321893,50.0555279910081
6.29938690688869,12.5975479300760,18.8944835230932,25.1901941393407
