lambda=1,lambda=2,lambda=3,lambda=4
429.460964240073,689.995914006321,943.333304782450,1194.99999980419
429.401243876747,689.945434103933,943.258299806532,1194.89999975832
429.289380188184,689.794898452852,943.033293967822,1194.59999970174
429.125244663414,689.544300634960,942.658287117384,1194.09999963194
428.908701247882,689.193633498770,942.133279080671,1193.39999954587
428.639605907735,688.742889076161,941.458269653137,1192.49999943972
428.317806169254,688.192058489707,940.633258595102,1191.39999930883
427.943140632043,687.541131849547,939.658245625735,1190.09999914744
427.515438454472,686.790098138620,938.533230416011,1188.59999894848
427.034518809837,685.938945084960,937.258212580469,1186.89999870320
426.500190311558,684.987659019591,935.833191667561,1184.99999840085
425.912250405694,683.936224718425,934.258167148361,1182.89999802819
425.270484728918,682.784625226340,932.533138403341,1180.59999756891
424.574666430015,681.532841661468,930.658104706901,1178.09999700291
423.824555452853,680.180852997459,928.633065209265,1175.39999630545
423.019897778645,678.728635821254,926.458018915289,1172.49999544607
422.160424625234,677.176164063637,924.132964659668,1169.39999438725
421.245851600969,675.523408699499,921.657901077921,1166.09999308281
420.275877810627,673.770337414443,919.032826572450,1162.59999147589
419.250184910690,671.916914233949,916.257739272813,1158.89998949649
418.168436111127,669.963099110931,913.332636989267,1154.99998705845
417.030275120686,667.908847467009,910.257517158396,1150.89998405571
415.835325032528,665.754109682354,907.032376779523,1146.59998035772
414.583187146847,663.498830528334,903.657212340319,1142.09997580381
413.273439726959,661.142948536588,900.132019729779,1137.39997019626
411.905636685119,658.686395297433,896.456794136444,1132.49996329172
410.479306194144,656.129094679709,892.631529929358,1127.39995479078
408.993949220673,653.470961963302,888.656220518826,1122.09994432498
407.449037975692,650.711902874612,884.530858193586,1116.59993144098
405.844014277688,647.851812514131,880.255433930378,1110.89991558103
404.178287823545,644.890574164133,875.829937171247,1104.99989605891
402.451234362034,641.828057963085,871.254355563138,1098.89987203043
400.662193764443,638.664119431963,866.528674653392,1092.59984245712
398.810467986605,635.398597835971,861.652877533702,1086.09980606155
396.895318916259,632.031314363344,856.626944423818,1079.39976127245
394.915966099352,628.562070100878,851.450852184821,1072.49970615718
392.871584338509,624.990643783580,846.124573750081,1065.39963833879
390.761301156556,621.316789293317,840.648077459993,1058.09955489399
388.584194117560,617.540232878554,835.021326284266,1050.59945222770
386.339287997454,613.660670064186,829.244276912770,1042.89932591895
384.025551795856,609.677762217033,823.316878692788,1034.99917053133
381.641895580240,605.591132728741,817.239072386760,1026.89897938012
379.187167153118,601.400362773610,811.010788720246,1018.59874424598
376.660148532395,597.104986594156,804.631946684760,1010.09845502309
374.059552234473,592.704486261991,798.102451554146,1001.39809928675
371.384017349162,588.198285855807,791.422192566240,992.497661761889
368.632105394792,583.585744991805,784.591040213428,983.397123670019
365.802295941325,578.866151634753,777.608843076231,974.096461926618
362.892981988565,574.038714109935,770.475424122971,964.595648154930
359.902465085851,569.102552227393,763.190576385636,954.894647474109
356.828950178893,564.056687420128,755.754057906945,944.993417010185
353.670540168582,558.900031787000,748.165585835989,934.891904066483
350.425230165798,553.631375919039,740.424829529183,924.590043875736
347.090901425332,548.249375374457,732.531402489248,914.087756838298
343.665314941144,542.752535652773,724.484852946787,903.384945129126
340.146104684148,537.139195501955,716.284652856249,892.481488529387
336.530770462723,531.407508374152,707.930185039726,881.377239305660
332.816670385031,525.555421825206,699.420728167300,870.072015919362
329.001012901088,519.580654630569,690.755439210410,858.565595299401
325.080848401295,513.480671365138,681.933332943698,846.857703350224
321.053060346874,507.252654166690,672.953257999578,834.948003292675
316.914355906302,500.893471371684,663.813868896602,822.836081343279
312.661256070386,494.399642677863,654.513593365606,810.521429124950
308.290085217151,487.767300450038,645.050594184270,798.003422063741
303.796960096092,480.992146743117,635.422724598362,785.281292856468
299.177778199685,474.069405569541,625.627476253463,772.354098885511
294.428205488301,466.993769886189,615.661918380561,759.220682201197
289.543663432749,459.759342718005,605.522626768375,745.879620377917
284.519315336791,452.359571771418,595.205600809425,732.329166164473
279.350051899815,444.787176819424,584.706166619942,718.567173375647
274.030475977735,437.034069061142,574.018863898754,704.591005890850
268.554886497836,429.091261570918,563.137313799274,690.397425912267
262.917261480876,420.948769854715,552.054064632347,675.982456759347
257.111240121179,412.595501423421,540.760411684964,661.341214401641
251.130103872762,404.019133172849,529.246186818069,646.467700612891
244.966756486671,395.205975227057,517.499512780905,631.354549010155
238.613702941696,386.140819753958,505.506516332259,615.992713254618
232.063027207489,376.806773098292,493.250993270269,600.371084251923
225.306368775703,367.185069395128,480.714017318587,584.476020196769
218.334897891326,357.254863625246,467.873483469913,568.290769633237
211.139289412569,346.993001849776,454.703574816237,551.794763194471
203.709695223825,336.373766112929,441.174140060820,534.962744153315
196.035715122023,325.368591225887,427.249966766297,517.763701126829
188.106366092358,313.945750338877,412.889932895130,500.159557947062
179.910049884776,302.070005868930,398.046016283344,482.103565487872
171.434518797733,289.702221974025,382.662138286468,463.538327693784
162.666839570626,276.798934346277,366.672813866632,444.393378664836
153.593355280910,263.311872632980,350.001575757232,424.582208764991
144.199645136204,249.187430279628,332.559134935819,403.998614548037
134.470482045698,234.366076018044,314.241233328149,382.512218861331
124.389787848852,218.781700589140,294.926137306121,359.962972601227
113.940586072677,202.360891586951,274.471711954274,336.154406790785
103.104952081870,185.022128530666,252.712006058939,310.845351134999
91.8639604786625,166.674889406172,229.453266082288,283.739770778978
80.1976296013809,147.218658958699,204.469283741928,254.474293948593
68.0848629625041,126.541827953163,177.495965900442,222.602906177426
55.5033874582750,104.520471437371,148.224996899531,187.578167853610
42.4296881727645,81.0169927325182,116.296441807989,148.728165869946
28.8389395895991,55.8786184213392,81.2901137762313,105.228231115121
14.7049330143720,28.9357279912033,42.7154992009143,56.0662339028709
